Time,Position,Velocity,Acceleration,Jerk,Follow_Vehicle_ID,Lead_Vehicle_ID,Status
0.1,600,25,0,0,3,1,In Lane(MainLane)
0.2,602.4988,24.9756,-0.24446,-2.4446,3,1,In Lane(MainLane)
0.3,604.9952,24.9521,-0.23423,0.10232,3,1,In Lane(MainLane)
0.4,607.4893,24.9297,-0.22445,0.09779,3,1,In Lane(MainLane)
0.5,609.9811,24.9082,-0.2151,0.093491,3,1,In Lane(MainLane)
0.6,612.4709,24.8876,-0.20616,0.089405,3,1,In Lane(MainLane)
0.7,614.9587,24.8678,-0.19761,0.085521,3,1,In Lane(MainLane)
0.8,617.4445,24.8489,-0.18943,0.081826,3,1,In Lane(MainLane)
0.9,619.9285,24.8307,-0.18159,0.078309,3,1,In Lane(MainLane)
1,622.4107,24.8133,-0.1741,0.074961,3,1,In Lane(MainLane)
1.1,624.8912,24.7966,-0.16692,0.071772,3,1,In Lane(MainLane)
1.2,627.3701,24.7806,-0.16005,0.068733,3,1,In Lane(MainLane)
1.3,629.8474,24.7652,-0.15346,0.065836,3,1,In Lane(MainLane)
1.4,632.3231,24.7505,-0.14716,0.063073,3,1,In Lane(MainLane)
1.5,634.7975,24.7364,-0.14111,0.060438,3,1,In Lane(MainLane)
1.6,637.2705,24.7229,-0.13532,0.057923,3,1,In Lane(MainLane)
1.7,639.7421,24.7099,-0.12977,0.055523,3,1,In Lane(MainLane)
1.8,642.2125,24.6975,-0.12445,0.05323,3,1,In Lane(MainLane)
1.9,644.6816,24.6855,-0.11934,0.05104,3,1,In Lane(MainLane)
2,647.1496,24.6741,-0.11445,0.048948,3,1,In Lane(MainLane)
2.1,649.6165,24.6631,-0.10975,0.046949,3,1,In Lane(MainLane)
2.2,652.0822,24.6526,-0.10525,0.045037,3,1,In Lane(MainLane)
2.3,654.547,24.6425,-0.10093,0.043209,3,1,In Lane(MainLane)
2.4,657.0108,24.6328,-0.096781,0.041461,3,1,In Lane(MainLane)
2.5,659.4736,24.6235,-0.092803,0.039788,3,1,In Lane(MainLane)
2.6,661.9355,24.6146,-0.088984,0.038187,3,1,In Lane(MainLane)
2.7,664.3965,24.6061,-0.085318,0.036655,3,1,In Lane(MainLane)
2.8,666.8567,24.5979,-0.0818,0.035188,3,1,In Lane(MainLane)
2.9,669.3161,24.5901,-0.078421,0.033783,3,1,In Lane(MainLane)
3,671.7748,24.5826,-0.075178,0.032437,3,1,In Lane(MainLane)
3.1,674.2327,24.5754,-0.072063,0.031149,3,1,In Lane(MainLane)
3.2,676.6898,24.5684,-0.069071,0.029914,3,1,In Lane(MainLane)
3.3,679.1464,24.5618,-0.066198,0.02873,3,1,In Lane(MainLane)
3.4,681.6022,24.5555,-0.063439,0.027596,3,1,In Lane(MainLane)
3.5,684.0575,24.5494,-0.060788,0.026508,3,1,In Lane(MainLane)
3.6,686.5121,24.5436,-0.058241,0.025466,3,1,In Lane(MainLane)
3.7,688.9662,24.538,-0.055795,0.024466,3,1,In Lane(MainLane)
3.8,691.4197,24.5327,-0.053444,0.023507,3,1,In Lane(MainLane)
3.9,693.8727,24.5275,-0.051185,0.022587,3,1,In Lane(MainLane)
4,696.3252,24.5226,-0.049015,0.021705,3,1,In Lane(MainLane)
4.1,698.7773,24.5179,-0.046929,0.020858,3,1,In Lane(MainLane)
4.2,701.2288,24.5135,-0.044925,0.020046,3,1,In Lane(MainLane)
4.3,703.68,24.5092,-0.042998,0.019266,3,1,In Lane(MainLane)
