Time,Position,Velocity,Acceleration,Jerk,Follow_Vehicle_ID,Lead_Vehicle_ID,Status
0.1,-200,25,0,0,11,9,In Lane(MainLane)
0.2,-197.5012,24.9754,-0.24645,-2.4645,11,9,In Lane(MainLane)
0.3,-195.0049,24.9515,-0.23806,0.083945,11,9,In Lane(MainLane)
0.4,-192.5109,24.9286,-0.22997,0.080857,11,9,In Lane(MainLane)
0.5,-190.0191,24.9063,-0.22218,0.077897,11,9,In Lane(MainLane)
0.6,-187.5296,24.8849,-0.21468,0.07506,11,9,In Lane(MainLane)
0.7,-185.0421,24.8641,-0.20744,0.072339,11,9,In Lane(MainLane)
0.8,-182.5567,24.8441,-0.20047,0.069728,11,9,In Lane(MainLane)
0.9,-180.0733,24.8247,-0.19375,0.067224,11,9,In Lane(MainLane)
1,-177.5917,24.806,-0.18726,0.064819,11,9,In Lane(MainLane)
1.1,-175.1121,24.7879,-0.18101,0.062511,11,9,In Lane(MainLane)
1.2,-172.6341,24.7704,-0.17498,0.060293,11,9,In Lane(MainLane)
1.3,-170.1579,24.7535,-0.16917,0.058163,11,9,In Lane(MainLane)
1.4,-167.6834,24.7371,-0.16356,0.056116,11,9,In Lane(MainLane)
1.5,-165.2105,24.7213,-0.15814,0.054149,11,9,In Lane(MainLane)
1.6,-162.7391,24.706,-0.15292,0.052257,11,9,In Lane(MainLane)
1.7,-160.2693,24.6912,-0.14787,0.050437,11,9,In Lane(MainLane)
1.8,-157.8009,24.6769,-0.143,0.048687,11,9,In Lane(MainLane)
1.9,-155.3339,24.6631,-0.1383,0.047004,11,9,In Lane(MainLane)
2,-152.8682,24.6497,-0.13376,0.045383,11,9,In Lane(MainLane)
2.1,-150.4039,24.6368,-0.12938,0.043824,11,9,In Lane(MainLane)
2.2,-147.9409,24.6242,-0.12515,0.042322,11,9,In Lane(MainLane)
2.3,-145.479,24.6121,-0.12106,0.040876,11,9,In Lane(MainLane)
2.4,-143.0184,24.6004,-0.11711,0.039483,11,9,In Lane(MainLane)
2.5,-140.5589,24.5891,-0.1133,0.038142,11,9,In Lane(MainLane)
2.6,-138.1006,24.5781,-0.10962,0.036849,11,9,In Lane(MainLane)
2.7,-135.6433,24.5675,-0.10605,0.035604,11,9,In Lane(MainLane)
2.8,-133.187,24.5573,-0.10261,0.034403,11,9,In Lane(MainLane)
2.9,-130.7318,24.5473,-0.09929,0.033246,11,9,In Lane(MainLane)
3,-128.2776,24.5377,-0.096077,0.032131,11,9,In Lane(MainLane)
3.1,-125.8243,24.5284,-0.092971,0.031055,11,9,In Lane(MainLane)
3.2,-123.3719,24.5194,-0.08997,0.030017,11,9,In Lane(MainLane)
3.3,-120.9204,24.5107,-0.087068,0.029017,11,9,In Lane(MainLane)
3.4,-118.4697,24.5023,-0.084263,0.028051,11,9,In Lane(MainLane)
3.5,-116.0199,24.4942,-0.081551,0.02712,11,9,In Lane(MainLane)
3.6,-113.5709,24.4863,-0.078929,0.026221,11,9,In Lane(MainLane)
3.7,-111.1226,24.4786,-0.076393,0.025354,11,9,In Lane(MainLane)
3.8,-108.6751,24.4712,-0.073942,0.024517,11,9,In Lane(MainLane)
3.9,-106.2284,24.4641,-0.071571,0.023709,11,9,In Lane(MainLane)
4,-103.7823,24.4571,-0.069278,0.022929,11,9,In Lane(MainLane)
4.1,-101.3369,24.4504,-0.06706,0.022176,11,9,In Lane(MainLane)
4.2,-98.8922,24.4439,-0.064916,0.021448,11,9,In Lane(MainLane)
4.3,-96.4481,24.4377,-0.062841,0.020746,11,9,In Lane(MainLane)
4.4,-94.0047,24.4316,-0.060834,0.020068,11,9,In Lane(MainLane)
4.5,-91.5618,24.4257,-0.058893,0.019413,11,9,In Lane(MainLane)
4.6,-89.1195,24.42,-0.057015,0.01878,11,9,In Lane(MainLane)
4.7,-86.6778,24.4145,-0.055198,0.018168,11,9,In Lane(MainLane)
