Time,Position,Velocity,Acceleration,Jerk,Follow_Vehicle_ID,Lead_Vehicle_ID,Status
0.1,400,25,0,0,5,3,In Lane(MainLane)
0.2,402.4988,24.9754,-0.24645,-2.4645,5,3,In Lane(MainLane)
0.3,404.9951,24.9515,-0.23806,0.083949,5,3,In Lane(MainLane)
0.4,407.4891,24.9286,-0.22997,0.080864,5,3,In Lane(MainLane)
0.5,409.9809,24.9063,-0.22218,0.077908,5,3,In Lane(MainLane)
0.6,412.4704,24.8849,-0.21467,0.075075,5,3,In Lane(MainLane)
0.7,414.9579,24.8641,-0.20744,0.07236,5,3,In Lane(MainLane)
0.8,417.4433,24.8441,-0.20046,0.069755,5,3,In Lane(MainLane)
0.9,419.9267,24.8247,-0.19374,0.067256,5,3,In Lane(MainLane)
1,422.4083,24.806,-0.18725,0.064857,5,3,In Lane(MainLane)
1.1,424.8879,24.7879,-0.18099,0.062555,5,3,In Lane(MainLane)
1.2,427.3659,24.7704,-0.17496,0.060343,5,3,In Lane(MainLane)
1.3,429.8421,24.7535,-0.16914,0.058219,5,3,In Lane(MainLane)
1.4,432.3166,24.7371,-0.16352,0.056178,5,3,In Lane(MainLane)
1.5,434.7895,24.7213,-0.1581,0.054217,5,3,In Lane(MainLane)
1.6,437.2609,24.706,-0.15287,0.05233,5,3,In Lane(MainLane)
1.7,439.7307,24.6912,-0.14781,0.050517,5,3,In Lane(MainLane)
1.8,442.1991,24.6769,-0.14294,0.048772,5,3,In Lane(MainLane)
1.9,444.6661,24.6631,-0.13823,0.047093,5,3,In Lane(MainLane)
2,447.1318,24.6498,-0.13368,0.045478,5,3,In Lane(MainLane)
2.1,449.5961,24.6368,-0.12929,0.043923,5,3,In Lane(MainLane)
2.2,452.0592,24.6243,-0.12504,0.042426,5,3,In Lane(MainLane)
2.3,454.521,24.6122,-0.12095,0.040984,5,3,In Lane(MainLane)
2.4,456.9816,24.6005,-0.11699,0.039595,5,3,In Lane(MainLane)
2.5,459.4411,24.5892,-0.11316,0.038258,5,3,In Lane(MainLane)
2.6,461.8995,24.5783,-0.10946,0.036969,5,3,In Lane(MainLane)
2.7,464.3568,24.5677,-0.10589,0.035726,5,3,In Lane(MainLane)
2.8,466.8131,24.5574,-0.10244,0.034529,5,3,In Lane(MainLane)
2.9,469.2683,24.5475,-0.099101,0.033374,5,3,In Lane(MainLane)
3,471.7226,24.5379,-0.095875,0.032261,5,3,In Lane(MainLane)
