Time,Position,Velocity,Acceleration,Jerk,Follow_Vehicle_ID,Lead_Vehicle_ID
0.1,400,20,0,0,102,100
0.2,402,20,0,0,102,100
0.3,404,20,0,0,102,100
0.4,406,20,0,0,102,100
0.5,408,20,0,0,102,100
0.6,410,20,0,0,102,100
0.7,412,20,0,0,102,100
0.8,414,20,0,0,102,100
0.9,416,20,0,0,102,100
1,418,20,0,0,102,100
1.1,420,20,0,0,102,100
1.2,422,20,0,0,102,100
1.3,424,20,0,0,102,100
1.4,426,20,0,0,102,100
1.5,428,20,0,0,102,100
1.6,430,20,0,0,102,100
1.7,432,20,0,0,102,100
1.8,434,20,0,0,102,100
1.9,436,20,0,0,102,100
2,438,20,0,0,102,100
2.1,440,20,0,0,102,100
2.2,442,20,0,0,102,100
2.3,444,20,0,0,102,100
2.4,446,20,0,0,102,100
2.5,448,20,0,0,102,100
2.6,450,20,0,0,102,100
2.7,452,20,0,0,102,100
2.8,454,20,0,0,102,100
2.9,456,20,0,0,102,100
3,458,20,0,0,102,100
3.1,460,20,0,0,102,100
3.2,462,20,0,0,102,100
3.3,464,20,0,0,102,100
3.4,466,20,0,0,102,100
3.5,468,20,0,0,102,100
3.6,470,20,0,0,102,100
3.7,472,20,0,0,102,100
3.8,474,20,0,0,102,100
3.9,476,20,0,0,102,100
4,478,20,0,0,102,100
4.1,480,20,0,0,102,100
4.2,482,20,0,0,102,100
4.3,484,20,0,0,102,100
4.4,486,20,0,0,102,100
4.5,488,20,0,0,102,100
4.6,490,20,0,0,102,100
4.7,492,20,0,0,102,100
4.8,494,20,0,0,102,100
4.9,496,20,0,0,102,100
5,498,20,0,0,102,100
5.1,500,20,0,0,102,100
5.2,502,20,0,0,102,100
5.3,504,20,0,0,102,100
5.4,506,20,0,0,102,100
5.5,508,20,0,0,102,100
5.6,510,20,0,0,102,100
5.7,512,20,0,0,102,100
5.8,514,20,0,0,102,100
5.9,516,20,0,0,102,100
6,518,20,0,0,102,100
6.1,520,20,0,0,102,100
6.2,522,20,0,0,102,100
6.3,524,20,0,0,102,100
6.4,526,20,0,0,102,100
6.5,528,20,0,0,102,100
6.6,530,20,0,0,102,100
6.7,532,20,0,0,102,100
6.8,534,20,0,0,102,100
6.9,536,20,0,0,102,100
7,538,20,0,0,102,100
7.1,540,20,0,0,102,100
7.2,542,20,0,0,102,100
7.3,544,20,0,0,102,100
7.4,546,20,0,0,102,100
7.5,548,20,0,0,102,100
7.6,550,20,0,0,102,100
7.7,552,20,0,0,102,100
7.8,554,20,0,0,102,100
7.9,556,20,0,0,102,100
8,558,20,0,0,102,100
8.1,560,20,0,0,102,100
8.2,562,20,0,0,102,100
8.3,564,20,0,0,102,100
8.4,566,20,0,0,102,100
8.5,568,20,0,0,102,100
8.6,570,20,0,0,102,100
8.7,572,20,0,0,102,100
8.8,574,20,0,0,102,100
8.9,576,20,0,0,102,100
9,578,20,0,0,102,100
9.1,580,20,0,0,102,100
9.2,582,20,0,0,102,100
9.3,584,20,0,0,102,100
9.4,586,20,0,0,102,100
9.5,588,20,0,0,102,100
9.6,590,20,0,0,102,100
9.7,592,20,0,0,102,100
9.8,594,20,0,0,102,100
9.9,596,20,0,0,102,100
10,598,20,0,0,102,100
10.1,600,20,0,0,102,100
10.2,602,20,0,0,102,100
10.3,603.985000001604,19.7000000320785,-2.99999967921481,29.9999967921481,4,3
10.4,605.940000006506,19.4000000659617,-2.99999966116867,-1.80461348087135e-07,4,3
10.5,607.865000014867,19.1000001012674,-2.99999964694235,-1.42263250069163e-07,4,3
10.6,609.760000025088,18.8000001031428,-2.99999998124642,3.34304073312808e-06,4,3
10.7,611.625000035503,18.500000105152,-2.99999997990788,-1.33854705097747e-08,4,3
10.8,613.460000048185,18.2000001484884,-2.99999956663592,-4.13271951327232e-06,4,3
10.9,615.265000065341,17.9000001946325,-2.99999953855905,-2.80768790439367e-07,4,3
11,617.040000084928,17.6000001971208,-2.99999997511675,4.36557709093677e-06,4,3
11.1,618.785000104778,17.3000001998727,-2.99999997248098,-2.63577737413812e-08,4,3
11.2,620.500000127848,17.0000002615313,-2.99999938341413,-5.89066848633024e-06,4,3
11.3,622.185000154166,16.7000002648343,-2.99999996697027,5.83556140298924e-06,4,3
11.4,623.840000181604,16.4000002839173,-2.99999980916964,-1.5780062589954e-06,4,3
11.5,625.465000211129,16.1000003065902,-2.9999997732709,-3.58987417570233e-07,4,3
11.6,627.060000241838,15.8000003075879,-2.99999999002319,2.16752289006195e-06,4,3
11.7,628.625000274185,15.500000339338,-2.99999968249887,-3.07524324671959e-06,4,3
11.8,630.160000347117,15.2000011193184,-2.99999220019612,-7.48230274405515e-05,4,3
11.9,631.665000461678,14.9000011718907,-2.99999947427745,7.27408132394913e-05,4,3
12,633.140000663781,14.6000028701687,-2.99998301721927,-0.000164570581784318,4,3
12.1,634.585000958274,14.300003019685,-2.9999985048376,0.000154876183291464,4,3
12.2,636.009972938242,14.1994365796819,-1.0056644000307,-19.943341048069,4,3
12.3,637.439916577923,14.3994362139472,1.99999634265306,-30.0566074268376,4,3
