Time,Position,Velocity,Acceleration,Jerk,Follow_Vehicle_ID,Lead_Vehicle_ID
0.1,650,25,0,0,2,0
0.2,652.5,25,0,0,2,0
0.3,655,25,0,0,2,0
0.4,657.5,25,0,0,2,0
0.5,660,25,0,0,2,0
0.6,662.5,25,0,0,2,0
0.7,665,25,0,0,2,0
0.8,667.5,25,0,0,2,0
0.9,670,25,0,0,2,0
1,672.5,25,0,0,2,0
1.1,675,25,0,0,2,0
1.2,677.5,25,0,0,2,0
1.3,680,25,0,0,2,0
1.4,682.5,25,0,0,2,0
1.5,685,25,0,0,2,0
1.6,687.5,25,0,0,2,0
1.7,690,25,0,0,2,0
1.8,692.5,25,0,0,2,0
1.9,695,25,0,0,2,0
2,697.5,25,0,0,2,0
2.1,700,25,0,0,2,0
2.2,702.5,25,0,0,2,0
2.3,705,25,0,0,2,0
2.4,707.5,25,0,0,2,0
2.5,710,25,0,0,2,0
2.6,712.5,25,0,0,2,0
2.7,715,25,0,0,2,0
2.8,717.5,25,0,0,2,0
2.9,720,25,0,0,2,0
3,722.5,25,0,0,2,0
3.1,725,25,0,0,2,0
3.2,727.5,25,0,0,2,0
3.3,730,25,0,0,2,0
3.4,732.5,25,0,0,2,0
3.5,735,25,0,0,2,0
3.6,737.5,25,0,0,2,0
3.7,740,25,0,0,2,0
3.8,742.5,25,0,0,2,0
3.9,745,25,0,0,2,0
4,747.5,25,0,0,2,0
4.1,750,25,0,0,2,0
4.2,752.5,25,0,0,2,0
4.3,755,25,0,0,2,0
4.4,757.5,25,0,0,2,0
4.5,760,25,0,0,2,0
4.6,762.5,25,0,0,2,0
4.7,765,25,0,0,2,0
4.8,767.5,25,0,0,2,0
4.9,770,25,0,0,2,0
5,772.5,25,0,0,2,0
5.1,775,25,0,0,2,0
5.2,777.5,25,0,0,2,0
5.3,780,25,0,0,2,0
5.4,782.5,25,0,0,2,0
5.5,785,25,0,0,2,0
5.6,787.5,25,0,0,2,0
5.7,790,25,0,0,2,0
5.8,792.5,25,0,0,2,0
5.9,795,25,0,0,2,0
6,797.5,25,0,0,2,0
6.1,800,25,0,0,2,0
6.2,802.5,25,0,0,2,0
6.3,805,25,0,0,2,0
