Time,Position,Velocity,Acceleration,Jerk,Follow_Vehicle_ID,Lead_Vehicle_ID
0.1,50,25,0,0,6,4
0.2,52.5,25,0,0,6,4
0.3,55,25,0,0,6,4
0.4,57.5,25,0,0,6,4
0.5,60,25,0,0,6,4
0.6,62.5,25,0,0,6,4
0.7,65,25,0,0,6,4
0.8,67.5,25,0,0,6,4
0.9,70,25,0,0,6,4
1,72.5,25,0,0,6,4
1.1,75,25,0,0,6,4
1.2,77.5,25,0,0,6,4
1.3,80,25,0,0,6,4
1.4,82.5,25,0,0,6,4
1.5,85,25,0,0,6,4
1.6,87.5,25,0,0,6,4
1.7,90,25,0,0,6,4
1.8,92.5,25,0,0,6,4
1.9,95,25,0,0,6,4
2,97.5,25,0,0,6,4
2.1,100,25,0,0,6,4
2.2,102.5,25,0,0,6,4
2.3,105,25,0,0,6,4
2.4,107.5,25,0,0,6,4
2.5,110,25,0,0,6,4
2.6,112.5,25,0,0,6,4
2.7,115,25,0,0,6,4
2.8,117.5,25,0,0,6,4
2.9,120,25,0,0,6,4
3,122.5,25,0,0,6,4
3.1,125,25,0,0,6,4
3.2,127.5,25,0,0,6,4
3.3,130,25,0,0,6,4
3.4,132.5,25,0,0,6,4
3.5,135,25,0,0,6,4
3.6,137.5,25,0,0,6,4
3.7,140,25,0,0,6,4
3.8,142.5,25,0,0,6,4
3.9,145,25,0,0,6,4
4,147.5,25,0,0,6,4
4.1,150,25,0,0,6,4
4.2,152.5,25,0,0,6,4
4.3,155,25,0,0,6,4
4.4,157.5,25,0,0,6,4
4.5,160,25,0,0,6,4
4.6,162.5,25,0,0,6,4
4.7,165,25,0,0,6,4
4.8,167.5,25,0,0,6,4
4.9,170,25,0,0,6,4
5,172.5,25,0,0,6,4
5.1,175,25,0,0,6,4
5.2,177.5,25,0,0,6,4
5.3,180,25,0,0,6,4
5.4,182.5,25,0,0,6,4
5.5,185,25,0,0,6,4
5.6,187.5,25,0,0,6,4
5.7,190,25,0,0,6,4
5.8,192.5,25,0,0,6,4
5.9,195,25,0,0,6,4
6,197.5,25,0,0,6,4
6.1,200,25,0,0,6,4
6.2,202.5,25,0,0,6,4
6.3,205,25,0,0,6,4
6.4,207.5,25,0,0,6,4
6.5,210,25,0,0,6,4
6.6,212.5,25,0,0,6,4
6.7,215,25,0,0,6,4
6.8,217.5,25,0,0,6,4
6.9,220,25,0,0,6,4
7,222.5,25,0,0,6,4
7.1,225,25,0,0,6,4
7.2,227.5,25,0,0,6,4
7.3,230,25,0,0,6,4
7.4,232.5,25,0,0,6,4
7.5,235,25,0,0,6,4
7.6,237.5,25,0,0,6,4
7.7,240,25,0,0,6,4
7.8,242.5,25,0,0,6,4
7.9,245,25,0,0,6,4
8,247.5,25,0,0,6,4
8.1,250,25,0,0,6,4
8.2,252.5,25,0,0,6,4
8.3,255,25,0,0,6,4
8.4,257.5,25,0,0,6,4
8.5,260,25,0,0,6,4
8.6,262.5,25,0,0,6,4
8.7,265,25,0,0,6,4
8.8,267.5,25,0,0,6,4
8.9,270,25,0,0,6,4
9,272.5,25,0,0,6,4
9.1,275,25,0,0,6,4
9.2,277.5,25,0,0,6,4
9.3,280,25,0,0,6,4
9.4,282.5,25,0,0,6,4
9.5,285,25,0,0,6,4
9.6,287.5,25,0,0,6,4
9.7,290,25,0,0,6,4
9.8,292.5,25,0,0,6,4
9.9,295,25,0,0,6,4
10,297.5,25,0,0,6,4
10.1,300,25,0,0,6,4
10.2,302.5,25,0,0,6,4
10.3,305,25,0,0,6,4
10.4,307.5,25,0,0,6,4
10.5,310,25,0,0,6,4
10.6,312.5,25,0,0,6,4
10.7,315,25,0,0,6,4
10.8,317.5,25,0,0,6,4
10.9,320,25,0,0,6,4
11,322.5,25,0,0,6,4
11.1,325,25,0,0,6,4
11.2,327.5,25,0,0,6,4
11.3,330,25,0,0,6,4
11.4,332.5,25,0,0,6,4
11.5,335,25,0,0,6,4
11.6,337.5,25,0,0,6,4
11.7,340,25,0,0,6,4
11.8,342.5,25,0,0,6,4
11.9,345,25,0,0,6,4
12,347.5,25,0,0,6,4
12.1,350,25,0,0,6,4
12.2,352.5,25,0,0,6,4
12.3,355,25,0,0,6,4
12.4,357.5,25,0,0,6,4
12.5,360,25,0,0,6,4
12.6,362.5,25,0,0,6,4
12.7,365,25,0,0,6,4
12.8,367.5,25,0,0,6,4
12.9,370,25,0,0,6,4
13,372.5,25,0,0,6,4
13.1,375,25,0,0,6,4
13.2,377.5,25,0,0,6,4
13.3,380,25,0,0,6,4
13.4,382.5,25,0,0,6,4
13.5,385,25,0,0,6,4
13.6,387.5,25,0,0,6,4
13.7,390,25,0,0,6,4
13.8,392.5,25,0,0,6,4
13.9,395,25,0,0,6,4
14,397.5,25,0,0,6,4
14.1,400,25,0,0,6,4
14.2,402.5,25,0,0,6,4
14.3,405,25,0,0,6,4
14.4,407.5,25,0,0,6,4
14.5,410,25,0,0,6,4
14.6,412.5,25,0,0,6,4
14.7,415,25,0,0,6,4
14.8,417.5,25,0,0,6,4
14.9,420,25,0,0,6,4
15,422.5,25,0,0,6,4
15.1,425,25,0,0,6,4
15.2,427.5,25,0,0,6,4
15.3,430,25,0,0,6,4
15.4,432.5,25,0,0,6,4
15.5,435,25,0,0,6,4
15.6,437.5,25,0,0,6,4
15.7,440,25,0,0,6,4
15.8,442.5,25,0,0,6,4
15.9,445,25,0,0,6,4
16,447.5,25,0,0,6,4
16.1,450,25,0,0,6,4
16.2,452.5,25,0,0,6,4
16.3,455,25,0,0,6,4
16.4,457.5,25,0,0,6,4
16.5,460,25,0,0,6,4
16.6,462.5,25,0,0,6,4
16.7,465,25,0,0,6,4
16.8,467.5,25,0,0,6,4
16.9,470,25,0,0,6,4
17,472.5,25,0,0,6,4
17.1,475,25,0,0,6,4
17.2,477.5,25,0,0,6,4
17.3,480,25,0,0,6,4
17.4,482.5,25,0,0,6,4
17.5,485,25,0,0,6,4
17.6,487.5,25,0,0,6,4
17.7,490,25,0,0,6,4
17.8,492.5,25,0,0,6,4
17.9,495,25,0,0,6,4
18,497.5,25,0,0,6,4
18.1,500,25,0,0,6,4
18.2,502.5,25,0,0,6,4
18.3,505,25,0,0,6,4
18.4,507.5,25,0,0,6,4
18.5,510,25,0,0,6,4
18.6,512.5,25,0,0,6,4
18.7,515,25,0,0,6,4
18.8,517.5,25,0,0,6,4
18.9,520,25,0,0,6,4
19,522.5,25,0,0,6,4
19.1,525,25,0,0,6,4
19.2,527.5,25,0,0,6,4
19.3,530,25,0,0,6,4
19.4,532.5,25,0,0,6,4
19.5,535,25,0,0,6,4
19.6,537.5,25,0,0,6,4
19.7,540,25,0,0,6,4
19.8,542.5,25,0,0,6,4
19.9,545,25,0,0,6,4
20,547.5,25,0,0,6,4
20.1,550,25,0,0,6,4
20.2,552.5,25,0,0,6,4
20.3,555,25,0,0,6,4
20.4,557.5,25,0,0,6,4
20.5,560,25,0,0,6,4
20.6,562.5,25,0,0,6,4
20.7,565,25,0,0,6,4
20.8,567.5,25,0,0,6,4
20.9,570,25,0,0,6,4
21,572.5,25,0,0,6,4
21.1,575,25,0,0,6,4
21.2,577.5,25,0,0,6,4
21.3,580,25,0,0,6,4
21.4,582.5,25,0,0,6,4
21.5,585,25,0,0,6,4
21.6,587.5,25,0,0,6,4
21.7,590,25,0,0,6,4
21.8,592.5,25,0,0,6,4
21.9,595,25,0,0,6,4
22,597.5,25,0,0,6,4
22.1,600,25,0,0,6,4
22.2,602.5,25,0,0,6,4
22.3,605,25,0,0,6,4
22.4,607.5,25,0,0,6,4
22.5,610,25,0,0,6,4
22.6,612.5,25,0,0,6,4
22.7,615,25,0,0,6,4
22.8,617.5,25,0,0,6,4
22.9,620,25,0,0,6,4
23,622.5,25,0,0,6,4
23.1,625,25,0,0,6,4
23.2,627.5,25,0,0,6,4
23.3,630,25,0,0,6,4
23.4,632.5,25,0,0,6,4
23.5,635,25,0,0,6,4
23.6,637.5,25,0,0,6,4
23.7,640,25,0,0,6,4
23.8,642.5,25,0,0,6,4
23.9,645,25,0,0,6,4
24,647.5,25,0,0,6,4
24.1,650,25,0,0,6,4
24.2,652.5,25,0,0,6,4
24.3,655,25,0,0,6,4
24.4,657.5,25,0,0,6,4
24.5,660,25,0,0,6,4
24.6,662.5,25,0,0,6,4
24.7,665,25,0,0,6,4
24.8,667.5,25,0,0,6,4
24.9,670,25,0,0,6,4
25,672.5,25,0,0,6,4
25.1,675,25,0,0,6,4
25.2,677.5,25,0,0,6,4
25.3,680,25,0,0,6,4
25.4,682.5,25,0,0,6,4
25.5,685,25,0,0,6,4
25.6,687.5,25,0,0,6,4
25.7,690,25,0,0,6,4
25.8,692.5,25,0,0,6,4
25.9,695,25,0,0,6,4
26,697.5,25,0,0,6,4
26.1,700,25,0,0,6,4
26.2,702.5,25,0,0,6,4
26.3,705,25,0,0,6,4
26.4,707.5,25,0,0,6,4
26.5,710,25,0,0,6,4
26.6,712.5,25,0,0,6,4
26.7,715,25,0,0,6,4
26.8,717.5,25,0,0,6,4
26.9,720,25,0,0,6,4
27,722.5,25,0,0,6,4
27.1,725,25,0,0,6,4
27.2,727.5,25,0,0,6,4
27.3,730,25,0,0,6,4
27.4,732.5,25,0,0,6,4
27.5,735,25,0,0,6,4
27.6,737.5,25,0,0,6,4
27.7,740,25,0,0,6,4
27.8,742.5,25,0,0,6,4
27.9,745,25,0,0,6,4
28,747.5,25,0,0,6,4
28.1,750,25,0,0,6,4
28.2,752.5,25,0,0,6,4
28.3,755,25,0,0,6,4
28.4,757.5,25,0,0,6,4
28.5,760,25,0,0,6,4
28.6,762.5,25,0,0,6,4
28.7,765,25,0,0,6,4
28.8,767.5,25,0,0,6,4
28.9,770,25,0,0,6,4
29,772.5,25,0,0,6,4
29.1,775,25,0,0,6,4
29.2,777.5,25,0,0,6,4
29.3,780,25,0,0,6,4
29.4,782.5,25,0,0,6,4
29.5,785,25,0,0,6,4
29.6,787.5,25,0,0,6,4
29.7,790,25,0,0,6,4
29.8,792.5,25,0,0,6,4
29.9,795,25,0,0,6,4
30,797.5,25,0,0,6,4
30.1,800,25,0,0,6,4
30.2,802.5,25,0,0,6,4
30.3,805,25,0,0,6,4
30.4,807.5,25,0,0,6,4
30.5,810,25,0,0,6,4
30.6,812.5,25,0,0,6,4
30.7,815,25,0,0,6,4
30.8,817.5,25,0,0,6,4
30.9,820,25,0,0,6,4
31,822.5,25,0,0,6,4
31.1,825,25,0,0,6,4
31.2,827.5,25,0,0,6,4
