Time,Position,Velocity,Acceleration,Jerk,Follow_Vehicle_ID,Lead_Vehicle_ID,Status
0.1,100,25,0,0,8,6,In Lane(MainLane)
0.2,102.4988,24.9754,-0.24645,-2.4645,8,6,In Lane(MainLane)
0.3,104.9951,24.9515,-0.23806,0.083945,8,6,In Lane(MainLane)
0.4,107.4891,24.9286,-0.22997,0.080857,8,6,In Lane(MainLane)
0.5,109.9809,24.9063,-0.22218,0.077897,8,6,In Lane(MainLane)
0.6,112.4704,24.8849,-0.21468,0.07506,8,6,In Lane(MainLane)
0.7,114.9579,24.8641,-0.20744,0.072339,8,6,In Lane(MainLane)
0.8,117.4433,24.8441,-0.20047,0.069728,8,6,In Lane(MainLane)
0.9,119.9267,24.8247,-0.19375,0.067224,8,6,In Lane(MainLane)
1,122.4083,24.806,-0.18726,0.064819,8,6,In Lane(MainLane)
1.1,124.8879,24.7879,-0.18101,0.062511,8,6,In Lane(MainLane)
1.2,127.3659,24.7704,-0.17498,0.060293,8,6,In Lane(MainLane)
1.3,129.8421,24.7535,-0.16917,0.058163,8,6,In Lane(MainLane)
1.4,132.3166,24.7371,-0.16356,0.056116,8,6,In Lane(MainLane)
1.5,134.7895,24.7213,-0.15814,0.054149,8,6,In Lane(MainLane)
1.6,137.2609,24.706,-0.15292,0.052257,8,6,In Lane(MainLane)
1.7,139.7307,24.6912,-0.14787,0.050437,8,6,In Lane(MainLane)
1.8,142.1991,24.6769,-0.143,0.048687,8,6,In Lane(MainLane)
1.9,144.6661,24.6631,-0.1383,0.047004,8,6,In Lane(MainLane)
2,147.1318,24.6497,-0.13376,0.045383,8,6,In Lane(MainLane)
2.1,149.5961,24.6368,-0.12938,0.043824,8,6,In Lane(MainLane)
2.2,152.0591,24.6242,-0.12515,0.042322,8,6,In Lane(MainLane)
2.3,154.521,24.6121,-0.12106,0.040876,8,6,In Lane(MainLane)
2.4,156.9816,24.6004,-0.11711,0.039483,8,6,In Lane(MainLane)
2.5,159.4411,24.5891,-0.1133,0.038142,8,6,In Lane(MainLane)
2.6,161.8994,24.5781,-0.10962,0.036849,8,6,In Lane(MainLane)
2.7,164.3567,24.5675,-0.10605,0.035604,8,6,In Lane(MainLane)
2.8,166.813,24.5573,-0.10261,0.034403,8,6,In Lane(MainLane)
2.9,169.2682,24.5473,-0.09929,0.033246,8,6,In Lane(MainLane)
3,171.7224,24.5377,-0.096077,0.032131,8,6,In Lane(MainLane)
3.1,174.1757,24.5284,-0.092971,0.031055,8,6,In Lane(MainLane)
3.2,176.6281,24.5194,-0.08997,0.030017,8,6,In Lane(MainLane)
3.3,179.0796,24.5107,-0.087068,0.029017,8,6,In Lane(MainLane)
3.4,181.5303,24.5023,-0.084263,0.028051,8,6,In Lane(MainLane)
3.5,183.9801,24.4942,-0.081551,0.02712,8,6,In Lane(MainLane)
3.6,186.4291,24.4863,-0.078929,0.026221,8,6,In Lane(MainLane)
3.7,188.8774,24.4786,-0.076393,0.025354,8,6,In Lane(MainLane)
3.8,191.3249,24.4712,-0.073942,0.024517,8,6,In Lane(MainLane)
3.9,193.7716,24.4641,-0.071571,0.023709,8,6,In Lane(MainLane)
4,196.2177,24.4571,-0.069278,0.022929,8,6,In Lane(MainLane)
4.1,198.6631,24.4504,-0.06706,0.022176,8,6,In Lane(MainLane)
4.2,201.1078,24.4439,-0.064915,0.021449,8,6,In Lane(MainLane)
4.3,203.5519,24.4377,-0.062841,0.020746,8,6,In Lane(MainLane)
4.4,205.9953,24.4316,-0.060834,0.020068,8,6,In Lane(MainLane)
4.5,208.4382,24.4257,-0.058893,0.019413,8,6,In Lane(MainLane)
4.6,210.8805,24.42,-0.057015,0.01878,8,6,In Lane(MainLane)
4.7,213.3222,24.4145,-0.055198,0.018169,8,6,In Lane(MainLane)
4.8,215.7634,24.4091,-0.05344,0.017578,8,6,In Lane(MainLane)
4.9,218.204,24.4039,-0.051739,0.017007,8,6,In Lane(MainLane)
5,220.6442,24.3989,-0.050094,0.016456,8,6,In Lane(MainLane)
5.1,223.0838,24.3941,-0.048502,0.015923,8,6,In Lane(MainLane)
