Time,Position,Velocity,Acceleration,Jerk
0.1,200,20,0,0
0.2,202,20,0,0
0.4,206,20,0,0
0.5,208,20,0,0
0.8,214,20,0,0
0.9,216,20,0,0
1,218,20,0,0
1.1,220,20,0,0
1.3,224,20,0,0
1.5,228,20,0,0
1.6,230,20,0,0
1.7,232,20,0,0
1.8,234,20,0,0
1.9,236,20,0,0
2,238,20,0,0
2.1,240,20,0,0
2.2,242,20,0,0
2.5,248,20,0,0
2.6,250,20,0,0
2.7,252,20,0,0
3,258,20,0,0
3.1,260,20,0,0
3.2,262,20,0,0
3.3,264,20,0,0
3.4,266,20,0,0
3.5,268,20,0,0
3.6,270,20,0,0
3.7,272,20,0,0
3.8,274,20,0,0
3.9,276,20,0,0
4,278,20,0,0
4.2,282,20,0,0
4.3,284,20,0,0
4.4,286,20,0,0
4.5,288,20,0,0
4.7,292,20,0,0
4.9,296,20,0,0
5,298,20,0,0
5.2,302,20,0,0
5.4,306,20,0,0
5.5,308,20,0,0
5.7,312,20,0,0
5.9,316,20,0,0
6,318,20,0,0
6.2,322,20,0,0
6.4,326,20,0,0
6.5,328,20,0,0
6.6,330,20,0,0
6.7,332,20,0,0
6.8,334,20,0,0
6.9,336,20,0,0
7,338,20,0,0
7.1,340,20,0,0
7.2,342,20,0,0
7.3,344,20,0,0
7.4,346,20,0,0
7.5,348,20,0,0
7.6,350,20,0,0
7.7,352,20,0,0
7.8,354,20,0,0
7.9,356,20,0,0
8,358,20,0,0
8.1,360,20,0,0
8.3,364,20,0,0
8.4,366,20,0,0
8.5,368,20,0,0
8.6,370,20,0,0
8.8,374,20,0,0
8.9,376,20,0,0
9,378,20,0,0
9.1,380,20,0,0
9.3,384,20,0,0
9.4,386,20,0,0
9.5,388,20,0,0
9.8,394,20,0,0
9.9,396,20,0,0
10,398,20,0,0
10.3,404,20,0,0
10.4,406,20,0,0
10.5,408,20,0,0
10.8,414,20,0,0
10.9,416,20,0,0
11,418,20,0,0
11.3,424,20,0,0
11.4,426,20,0,0
11.5,428,20,0,0
11.8,434,20,0,0
11.9,436,20,0,0
12,438,20,0,0
12.3,444,20,0,0
12.4,446,20,0,0
12.5,448,20,0,0
12.8,454,20,0,0
12.9,456,20,0,0
13,458,20,0,0
13.1,460,20,0,0
13.2,462,20,0,0
13.3,464,20,0,0
13.4,466,20,0,0
13.5,468,20,0,0
13.6,470,20,0,0
13.7,472,20,0,0
13.8,474,20,0,0
13.9,476,20,0,0
14,478,20,0,0
14.1,480,20,0,0
14.2,482,20,0,0
14.3,484,20,0,0
14.4,486,20,0,0
14.5,488,20,0,0
14.6,490,20,0,0
14.7,492,20,0,0
14.8,494,20,0,0
14.9,496,20,0,0
15,498,20,0,0
15.1,500,20,0,0
15.2,502,20,0,0
15.3,504,20,0,0
15.4,506,20,0,0
15.5,508,20,0,0
15.6,510,20,0,0
15.7,512,20,0,0
15.8,514,20,0,0
15.9,516,20,0,0
16,518,20,0,0
16.1,520,20,0,0
16.2,522,20,0,0
16.3,524,20,0,0
16.5,528,20,0,0
16.6,530,20,0,0
16.7,532,20,0,0
16.8,534,20,0,0
17,538,20,0,0
17.1,540,20,0,0
17.2,542,20,0,0
17.3,544,20,0,0
17.5,548,20,0,0
17.6,550,20,0,0
17.7,552,20,0,0
17.8,554,20,0,0
18,558,20,0,0
18.1,560,20,0,0
18.2,562,20,0,0
18.3,564,20,0,0
18.5,568,20,0,0
18.6,570,20,0,0
18.7,572,20,0,0
18.8,574,20,0,0
19,578,20,0,0
19.1,580,20,0,0
19.3,584,20,0,0
19.5,588,20,0,0
19.6,590,20,0,0
19.8,594,20,0,0
20,598,20,0,0
20.1,600,20,0,0
20.3,604,20,0,0
20.5,608,20,0,0
20.6,610,20,0,0
20.8,614,20,0,0
21,618,20,0,0
21.1,620,20,0,0
21.3,624,20,0,0
21.5,628,20,0,0
21.6,630,20,0,0
21.8,634,20,0,0
22,638,20,0,0
22.1,640,20,0,0
22.3,644,20,0,0
22.5,648,20,0,0
22.6,650,20,0,0
22.8,654,20,0,0
23,658,20,0,0
23.1,660,20,0,0
23.3,664,20,0,0
23.5,668,20,0,0
23.6,670,20,0,0
23.8,674,20,0,0
24,678,20,0,0
24.1,680,20,0,0
24.3,684,20,0,0
24.5,688,20,0,0
24.6,690,20,0,0
24.8,694,20,0,0
25,698,20,0,0
25.1,700,20,0,0
25.3,704,20,0,0
25.5,708,20,0,0
25.6,710,20,0,0
25.7,712,20,0,0
25.8,714,20,0,0
25.9,716,20,0,0
26,718,20,0,0
26.1,720,20,0,0
26.2,722,20,0,0
26.3,724,20,0,0
26.4,726,20,0,0
26.5,728,20,0,0
26.6,730,20,0,0
26.7,732,20,0,0
26.8,734,20,0,0
26.9,736,20,0,0
27,738,20,0,0
27.1,740,20,0,0
27.2,742,20,0,0
27.3,744,20,0,0
27.4,746,20,0,0
27.5,748,20,0,0
27.6,750,20,0,0
27.7,752,20,0,0
27.8,754,20,0,0
27.9,756,20,0,0
28,758,20,0,0
28.1,760,20,0,0
28.2,762,20,0,0
28.3,764,20,0,0
28.4,766,20,0,0
28.5,768,20,0,0
28.6,770,20,0,0
28.7,772,20,0,0
28.8,774,20,0,0
28.9,776,20,0,0
29,778,20,0,0
29.1,780,20,0,0
29.2,782,20,0,0
29.3,784,20,0,0
29.4,786,20,0,0
29.5,788,20,0,0
29.6,790,20,0,0
29.7,792,20,0,0
29.8,794,20,0,0
29.9,796,20,0,0
30,798,20,0,0
