Time,Position,Velocity,Acceleration,Jerk,Follow_Vehicle_ID,Lead_Vehicle_ID,Status
0.1,300,25,0,0,6,4,In Lane(MainLane)
0.2,302.4988,24.9754,-0.24645,-2.4645,6,4,In Lane(MainLane)
0.3,304.9951,24.9515,-0.23806,0.083945,6,4,In Lane(MainLane)
0.4,307.4891,24.9286,-0.22997,0.080857,6,4,In Lane(MainLane)
0.5,309.9809,24.9063,-0.22218,0.077897,6,4,In Lane(MainLane)
0.6,312.4704,24.8849,-0.21468,0.07506,6,4,In Lane(MainLane)
0.7,314.9579,24.8641,-0.20744,0.072339,6,4,In Lane(MainLane)
0.8,317.4433,24.8441,-0.20047,0.069729,6,4,In Lane(MainLane)
0.9,319.9267,24.8247,-0.19375,0.067225,6,4,In Lane(MainLane)
1,322.4083,24.806,-0.18726,0.06482,6,4,In Lane(MainLane)
1.1,324.8879,24.7879,-0.18101,0.062512,6,4,In Lane(MainLane)
1.2,327.3659,24.7704,-0.17498,0.060295,6,4,In Lane(MainLane)
1.3,329.8421,24.7535,-0.16917,0.058165,6,4,In Lane(MainLane)
1.4,332.3166,24.7371,-0.16356,0.056119,6,4,In Lane(MainLane)
1.5,334.7895,24.7213,-0.15814,0.054152,6,4,In Lane(MainLane)
1.6,337.2609,24.706,-0.15291,0.05226,6,4,In Lane(MainLane)
1.7,339.7307,24.6912,-0.14787,0.050441,6,4,In Lane(MainLane)
1.8,342.1991,24.6769,-0.143,0.048692,6,4,In Lane(MainLane)
1.9,344.6661,24.6631,-0.1383,0.047009,6,4,In Lane(MainLane)
2,347.1318,24.6497,-0.13376,0.045389,6,4,In Lane(MainLane)
2.1,349.5961,24.6368,-0.12938,0.04383,6,4,In Lane(MainLane)
2.2,352.0591,24.6243,-0.12515,0.042329,6,4,In Lane(MainLane)
2.3,354.521,24.6121,-0.12106,0.040883,6,4,In Lane(MainLane)
2.4,356.9816,24.6004,-0.11711,0.039491,6,4,In Lane(MainLane)
2.5,359.4411,24.5891,-0.11329,0.038151,6,4,In Lane(MainLane)
2.6,361.8994,24.5781,-0.10961,0.036859,6,4,In Lane(MainLane)
2.7,364.3567,24.5675,-0.10605,0.035614,6,4,In Lane(MainLane)
2.8,366.813,24.5573,-0.1026,0.034414,6,4,In Lane(MainLane)
2.9,369.2682,24.5474,-0.099278,0.033257,6,4,In Lane(MainLane)
3,371.7224,24.5377,-0.096064,0.032142,6,4,In Lane(MainLane)
3.1,374.1758,24.5284,-0.092957,0.031067,6,4,In Lane(MainLane)
3.2,376.6281,24.5195,-0.089954,0.030031,6,4,In Lane(MainLane)
3.3,379.0797,24.5107,-0.087051,0.02903,6,4,In Lane(MainLane)
3.4,381.5303,24.5023,-0.084245,0.028066,6,4,In Lane(MainLane)
3.5,383.9801,24.4942,-0.081531,0.027135,6,4,In Lane(MainLane)
3.6,386.4292,24.4863,-0.078908,0.026237,6,4,In Lane(MainLane)
3.7,388.8774,24.4786,-0.076371,0.02537,6,4,In Lane(MainLane)
3.8,391.3249,24.4713,-0.073917,0.024534,6,4,In Lane(MainLane)
3.9,393.7717,24.4641,-0.071545,0.023726,6,4,In Lane(MainLane)
4,396.2177,24.4572,-0.06925,0.022947,6,4,In Lane(MainLane)
4.1,398.6631,24.4505,-0.06703,0.022194,6,4,In Lane(MainLane)
4.2,401.1078,24.444,-0.064884,0.021467,6,4,In Lane(MainLane)
4.3,403.5519,24.4377,-0.062807,0.020765,6,4,In Lane(MainLane)
4.4,405.9954,24.4316,-0.060798,0.020088,6,4,In Lane(MainLane)
4.5,408.4383,24.4257,-0.058855,0.019433,6,4,In Lane(MainLane)
4.6,410.8805,24.42,-0.056975,0.018801,6,4,In Lane(MainLane)
4.7,413.3223,24.4145,-0.055156,0.01819,6,4,In Lane(MainLane)
4.8,415.7635,24.4092,-0.053396,0.017599,6,4,In Lane(MainLane)
4.9,418.2041,24.404,-0.051693,0.017029,6,4,In Lane(MainLane)
5,420.6443,24.399,-0.050046,0.016478,6,4,In Lane(MainLane)
5.1,423.0839,24.3942,-0.048451,0.015945,6,4,In Lane(MainLane)
5.2,425.5231,24.3895,-0.046908,0.01543,6,4,In Lane(MainLane)
5.3,427.9618,24.3849,-0.045415,0.014933,6,4,In Lane(MainLane)
5.4,430.4001,24.3805,-0.04397,0.014452,6,4,In Lane(MainLane)
5.5,432.8379,24.3763,-0.042571,0.013987,6,4,In Lane(MainLane)
5.6,435.2754,24.3722,-0.041217,0.013537,6,4,In Lane(MainLane)
5.7,437.7124,24.3682,-0.039907,0.013102,6,4,In Lane(MainLane)
5.8,440.149,24.3643,-0.038639,0.012682,6,4,In Lane(MainLane)
5.9,442.5852,24.3606,-0.037411,0.012276,6,4,In Lane(MainLane)
6,445.0211,24.3569,-0.036223,0.011883,6,4,In Lane(MainLane)
6.1,447.4566,24.3534,-0.035073,0.011503,6,4,In Lane(MainLane)
6.2,449.8918,24.35,-0.033959,0.011135,6,4,In Lane(MainLane)
6.3,452.3266,24.3467,-0.032881,0.01078,6,4,In Lane(MainLane)
6.4,454.7612,24.3436,-0.031837,0.010436,6,4,In Lane(MainLane)
6.5,457.1954,24.3405,-0.030827,0.010103,6,4,In Lane(MainLane)
6.6,459.6293,24.3375,-0.029849,0.0097816,6,4,In Lane(MainLane)
6.7,462.0629,24.3346,-0.028902,0.0094703,6,4,In Lane(MainLane)
6.8,464.4962,24.3318,-0.027985,0.0091692,6,4,In Lane(MainLane)
6.9,466.9292,24.3291,-0.027097,0.0088779,6,4,In Lane(MainLane)
7,469.362,24.3265,-0.026238,0.008596,6,4,In Lane(MainLane)
7.1,471.7945,24.3239,-0.025405,0.0083233,6,4,In Lane(MainLane)
7.2,474.2268,24.3215,-0.024599,0.0080594,6,4,In Lane(MainLane)
7.3,476.6588,24.3191,-0.023819,0.007804,6,4,In Lane(MainLane)
7.4,479.0906,24.3168,-0.023063,0.0075569,6,4,In Lane(MainLane)
7.5,481.5222,24.3146,-0.022331,0.0073178,6,4,In Lane(MainLane)
7.6,483.9535,24.3124,-0.021623,0.0070863,6,4,In Lane(MainLane)
7.7,486.3847,24.3103,-0.020937,0.0068623,6,4,In Lane(MainLane)
7.8,488.8156,24.3083,-0.020272,0.0066456,6,4,In Lane(MainLane)
7.9,491.2463,24.3063,-0.019629,0.0064357,6,4,In Lane(MainLane)
8,493.6769,24.3044,-0.019005,0.0062326,6,4,In Lane(MainLane)
8.1,496.1072,24.3026,-0.018402,0.0060361,6,4,In Lane(MainLane)
8.2,498.5374,24.3008,-0.017817,0.0058458,6,4,In Lane(MainLane)
8.3,500.9674,24.2991,-0.017251,0.0056616,6,4,In Lane(MainLane)
8.4,503.3972,24.2974,-0.016703,0.0054833,6,4,In Lane(MainLane)
8.5,505.8269,24.2958,-0.016171,0.0053107,6,4,In Lane(MainLane)
8.6,508.2564,24.2942,-0.015657,0.0051436,6,4,In Lane(MainLane)
8.7,510.6857,24.2927,-0.015159,0.0049819,6,4,In Lane(MainLane)
8.8,513.1149,24.2912,-0.014676,0.0048253,6,4,In Lane(MainLane)
8.9,515.5439,24.2898,-0.014209,0.0046736,6,4,In Lane(MainLane)
9,517.9729,24.2884,-0.013756,0.0045269,6,4,In Lane(MainLane)
9.1,520.4016,24.2871,-0.013318,0.0043847,6,4,In Lane(MainLane)
9.2,522.8303,24.2858,-0.012893,0.0042471,6,4,In Lane(MainLane)
