Time,Position,Velocity,Acceleration,Jerk
0.1,-160,20,0,0
0.2,-158,20,0,0
0.4,-154,20,0,0
0.5,-152,20,0,0
0.8,-146,20,0,0
0.9,-144,20,0,0
1,-142,20,0,0
1.1,-140,20,0,0
1.3,-136,20,0,0
1.5,-132,20,0,0
1.6,-130,20,0,0
1.7,-128,20,0,0
1.8,-126,20,0,0
1.9,-124,20,0,0
2,-122,20,0,0
2.1,-120,20,0,0
2.2,-118,20,0,0
2.5,-112,20,0,0
2.6,-110,20,0,0
2.7,-108,20,0,0
3,-102,20,0,0
3.1,-100,20,0,0
3.2,-98,20,0,0
3.3,-96,20,0,0
3.4,-94,20,0,0
3.5,-92,20,0,0
3.6,-90,20,0,0
3.7,-88,20,0,0
3.8,-86,20,0,0
3.9,-84,20,0,0
4,-82,20,0,0
4.2,-78,20,0,0
4.3,-76,20,0,0
4.4,-74,20,0,0
4.5,-72,20,0,0
4.7,-68,20,0,0
4.9,-64,20,0,0
5,-62,20,0,0
5.2,-58,20,0,0
5.4,-54,20,0,0
5.5,-52,20,0,0
5.7,-48,20,0,0
5.9,-44,20,0,0
6,-42,20,0,0
6.2,-38,20,0,0
6.4,-34,20,0,0
6.5,-32,20,0,0
6.6,-30,20,0,0
6.7,-28,20,0,0
6.8,-26,20,0,0
6.9,-24,20,0,0
7,-22,20,0,0
7.1,-20,20,0,0
7.2,-18,20,0,0
7.3,-16,20,0,0
7.4,-14,20,0,0
7.5,-12,20,0,0
7.6,-10,20,0,0
7.7,-8,20,0,0
7.8,-6,20,0,0
7.9,-4,20,0,0
8,-2,20,0,0
8.1,0,20,0,0
8.3,4,20,0,0
8.4,6,20,0,0
8.5,8,20,0,0
8.6,10,20,0,0
8.8,14,20,0,0
8.9,16,20,0,0
9,18,20,0,0
9.1,20,20,0,0
9.3,24,20,0,0
9.4,26,20,0,0
9.5,28,20,0,0
9.8,34,20,0,0
9.9,36,20,0,0
10,38,20,0,0
10.3,44,20,0,0
10.4,46,20,0,0
10.5,48,20,0,0
10.8,54,20,0,0
10.9,56,20,0,0
11,58,20,0,0
11.3,64,20,0,0
11.4,66,20,0,0
11.5,68,20,0,0
11.8,74,20,0,0
11.9,76,20,0,0
12,78,20,0,0
12.3,84,20,0,0
12.4,86,20,0,0
12.5,88,20,0,0
12.8,94,20,0,0
12.9,96,20,0,0
13,98,20,0,0
13.1,100,20,0,0
13.2,102,20,0,0
13.3,104,20,0,0
13.4,106,20,0,0
13.5,108,20,0,0
13.6,110,20,0,0
13.7,112,20,0,0
13.8,114,20,0,0
13.9,116,20,0,0
14,118,20,0,0
14.1,120,20,0,0
14.2,122,20,0,0
14.3,124,20,0,0
14.4,126,20,0,0
14.5,128,20,0,0
14.6,130,20,0,0
14.7,132,20,0,0
14.8,134,20,0,0
14.9,136,20,0,0
15,138,20,0,0
15.1,140,20,0,0
15.2,142,20,0,0
15.3,144,20,0,0
15.4,146,20,0,0
15.5,148,20,0,0
15.6,150,20,0,0
15.7,152,20,0,0
15.8,154,20,0,0
15.9,156,20,0,0
16,158,20,0,0
16.1,160,20,0,0
16.2,162,20,0,0
16.3,164,20,0,0
16.5,168,20,0,0
16.6,170,20,0,0
16.7,172,20,0,0
16.8,174,20,0,0
17,178,20,0,0
17.1,180,20,0,0
17.2,182,20,0,0
17.3,184,20,0,0
17.5,188,20,0,0
17.6,190,20,0,0
17.7,192,20,0,0
17.8,194,20,0,0
18,198,20,0,0
18.1,200,20,0,0
18.2,202,20,0,0
18.3,204,20,0,0
18.5,208,20,0,0
18.6,210,20,0,0
18.7,212,20,0,0
18.8,214,20,0,0
19,218,20,0,0
19.1,220,20,0,0
19.3,224,20,0,0
19.5,228,20,0,0
19.6,230,20,0,0
19.8,234,20,0,0
20,238,20,0,0
20.1,240,20,0,0
20.3,244,20,0,0
20.5,248,20,0,0
20.6,250,20,0,0
20.8,254,20,0,0
21,258,20,0,0
21.1,260,20,0,0
21.3,264,20,0,0
21.5,268,20,0,0
21.6,270,20,0,0
21.8,274,20,0,0
22,278,20,0,0
22.1,280,20,0,0
22.3,284,20,0,0
22.5,288,20,0,0
22.6,290,20,0,0
22.8,294,20,0,0
23,298,20,0,0
23.1,300,20,0,0
23.3,304,20,0,0
23.5,308,20,0,0
23.6,310,20,0,0
23.8,314,20,0,0
24,318,20,0,0
24.1,320,20,0,0
24.3,324,20,0,0
24.5,328,20,0,0
24.6,330,20,0,0
24.8,334,20,0,0
25,338,20,0,0
25.1,340,20,0,0
25.3,344,20,0,0
25.5,348,20,0,0
25.6,350,20,0,0
25.7,352,20,0,0
25.8,354,20,0,0
25.9,356,20,0,0
26,358,20,0,0
26.1,360,20,0,0
26.2,362,20,0,0
26.3,364,20,0,0
26.4,366,20,0,0
26.5,368,20,0,0
26.6,370,20,0,0
26.7,372,20,0,0
26.8,374,20,0,0
26.9,376,20,0,0
27,378,20,0,0
27.1,380,20,0,0
27.2,382,20,0,0
27.3,384,20,0,0
27.4,386,20,0,0
27.5,388,20,0,0
27.6,390,20,0,0
27.7,392,20,0,0
27.8,394,20,0,0
27.9,396,20,0,0
28,398,20,0,0
28.1,400,20,0,0
28.2,402,20,0,0
28.3,404,20,0,0
28.4,406,20,0,0
28.5,408,20,0,0
28.6,410,20,0,0
28.7,412,20,0,0
28.8,414,20,0,0
28.9,416,20,0,0
29,418,20,0,0
29.1,420,20,0,0
29.2,422,20,0,0
29.3,424,20,0,0
29.4,426,20,0,0
29.5,428,20,0,0
29.6,430,20,0,0
29.7,432,20,0,0
29.8,434,20,0,0
29.9,436,20,0,0
30,438,20,0,0
