Time,Position,Velocity,Acceleration,Jerk
0.1,-340,20,0,0
0.2,-338,20,0,0
0.4,-334,20,0,0
0.5,-332,20,0,0
0.8,-326,20,0,0
0.9,-324,20,0,0
1,-322,20,0,0
1.1,-320,20,0,0
1.3,-316,20,0,0
1.5,-312,20,0,0
1.6,-310,20,0,0
1.7,-308,20,0,0
1.8,-306,20,0,0
1.9,-304,20,0,0
2,-302,20,0,0
2.1,-300,20,0,0
2.2,-298,20,0,0
2.5,-292,20,0,0
2.6,-290,20,0,0
2.7,-288,20,0,0
3,-282,20,0,0
3.1,-280,20,0,0
3.2,-278,20,0,0
3.3,-276,20,0,0
3.4,-274,20,0,0
3.5,-272,20,0,0
3.6,-270,20,0,0
3.7,-268,20,0,0
3.8,-266,20,0,0
3.9,-264,20,0,0
4,-262,20,0,0
4.2,-258,20,0,0
4.3,-256,20,0,0
4.4,-254,20,0,0
4.5,-252,20,0,0
4.7,-248,20,0,0
4.9,-244,20,0,0
5,-242,20,0,0
5.2,-238,20,0,0
5.4,-234,20,0,0
5.5,-232,20,0,0
5.7,-228,20,0,0
5.9,-224,20,0,0
6,-222,20,0,0
6.2,-218,20,0,0
6.4,-214,20,0,0
6.5,-212,20,0,0
6.6,-210,20,0,0
6.7,-208,20,0,0
6.8,-206,20,0,0
6.9,-204,20,0,0
7,-202,20,0,0
7.1,-200,20,0,0
7.2,-198,20,0,0
7.3,-196,20,0,0
7.4,-194,20,0,0
7.5,-192,20,0,0
7.6,-190,20,0,0
7.7,-188,20,0,0
7.8,-186,20,0,0
7.9,-184,20,0,0
8,-182,20,0,0
8.1,-180,20,0,0
8.3,-176,20,0,0
8.4,-174,20,0,0
8.5,-172,20,0,0
8.6,-170,20,0,0
8.8,-166,20,0,0
8.9,-164,20,0,0
9,-162,20,0,0
9.1,-160,20,0,0
9.3,-156,20,0,0
9.4,-154,20,0,0
9.5,-152,20,0,0
9.8,-146,20,0,0
9.9,-144,20,0,0
10,-142,20,0,0
10.3,-136,20,0,0
10.4,-134,20,0,0
10.5,-132,20,0,0
10.8,-126,20,0,0
10.9,-124,20,0,0
11,-122,20,0,0
11.3,-116,20,0,0
11.4,-114,20,0,0
11.5,-112,20,0,0
11.8,-106,20,0,0
11.9,-104,20,0,0
12,-102,20,0,0
12.3,-96,20,0,0
12.4,-94,20,0,0
12.5,-92,20,0,0
12.8,-86,20,0,0
12.9,-84,20,0,0
13,-82,20,0,0
13.1,-80,20,0,0
13.2,-78,20,0,0
13.3,-76,20,0,0
13.4,-74,20,0,0
13.5,-72,20,0,0
13.6,-70,20,0,0
13.7,-68,20,0,0
13.8,-66,20,0,0
13.9,-64,20,0,0
14,-62,20,0,0
14.1,-60,20,0,0
14.2,-58,20,0,0
14.3,-56,20,0,0
14.4,-54,20,0,0
14.5,-52,20,0,0
14.6,-50,20,0,0
14.7,-48,20,0,0
14.8,-46,20,0,0
14.9,-44,20,0,0
15,-42,20,0,0
15.1,-40,20,0,0
15.2,-38,20,0,0
15.3,-36,20,0,0
15.4,-34,20,0,0
15.5,-32,20,0,0
15.6,-30,20,0,0
15.7,-28,20,0,0
15.8,-26,20,0,0
15.9,-24,20,0,0
16,-22,20,0,0
16.1,-20,20,0,0
16.2,-18,20,0,0
16.3,-16,20,0,0
16.5,-12,20,0,0
16.6,-10,20,0,0
16.7,-8,20,0,0
16.8,-6,20,0,0
17,-2,20,0,0
17.1,0,20,0,0
17.2,2,20,0,0
17.3,4,20,0,0
17.5,8,20,0,0
17.6,10,20,0,0
17.7,12,20,0,0
17.8,14,20,0,0
18,18,20,0,0
18.1,20,20,0,0
18.2,22,20,0,0
18.3,24,20,0,0
18.5,28,20,0,0
18.6,30,20,0,0
18.7,32,20,0,0
18.8,34,20,0,0
19,38,20,0,0
19.1,40,20,0,0
19.3,44,20,0,0
19.5,48,20,0,0
19.6,50,20,0,0
19.8,54,20,0,0
20,58,20,0,0
20.1,60,20,0,0
20.3,64,20,0,0
20.5,68,20,0,0
20.6,70,20,0,0
20.8,74,20,0,0
21,78,20,0,0
21.1,80,20,0,0
21.3,84,20,0,0
21.5,88,20,0,0
21.6,90,20,0,0
21.8,94,20,0,0
22,98,20,0,0
22.1,100,20,0,0
22.3,104,20,0,0
22.5,108,20,0,0
22.6,110,20,0,0
22.8,114,20,0,0
23,118,20,0,0
23.1,120,20,0,0
23.3,124,20,0,0
23.5,128,20,0,0
23.6,130,20,0,0
23.8,134,20,0,0
24,138,20,0,0
24.1,140,20,0,0
24.3,144,20,0,0
24.5,148,20,0,0
24.6,150,20,0,0
24.8,154,20,0,0
25,158,20,0,0
25.1,160,20,0,0
25.3,164,20,0,0
25.5,168,20,0,0
25.6,170,20,0,0
25.7,172,20,0,0
25.8,174,20,0,0
25.9,176,20,0,0
26,178,20,0,0
26.1,180,20,0,0
26.2,182,20,0,0
26.3,184,20,0,0
26.4,186,20,0,0
26.5,188,20,0,0
26.6,190,20,0,0
26.7,192,20,0,0
26.8,194,20,0,0
26.9,196,20,0,0
27,198,20,0,0
27.1,200,20,0,0
27.2,202,20,0,0
27.3,204,20,0,0
27.4,206,20,0,0
27.5,208,20,0,0
27.6,210,20,0,0
27.7,212,20,0,0
27.8,214,20,0,0
27.9,216,20,0,0
28,218,20,0,0
28.1,220,20,0,0
28.2,222,20,0,0
28.3,224,20,0,0
28.4,226,20,0,0
28.5,228,20,0,0
28.6,230,20,0,0
28.7,232,20,0,0
28.8,234,20,0,0
28.9,236,20,0,0
29,238,20,0,0
29.1,240,20,0,0
29.2,242,20,0,0
29.3,244,20,0,0
29.4,246,20,0,0
29.5,248,20,0,0
