Time,Position,Velocity,Acceleration,Jerk
0.1,20,20,0,0
0.2,22,20,0,0
0.4,26,20,0,0
0.5,28,20,0,0
0.8,34,20,0,0
0.9,36,20,0,0
1,38,20,0,0
1.1,40,20,0,0
1.3,44,20,0,0
1.5,48,20,0,0
1.6,50,20,0,0
1.7,52,20,0,0
1.8,54,20,0,0
1.9,56,20,0,0
2,58,20,0,0
2.1,60,20,0,0
2.2,62,20,0,0
2.5,68,20,0,0
2.6,70,20,0,0
2.7,72,20,0,0
3,78,20,0,0
3.1,80,20,0,0
3.2,82,20,0,0
3.3,84,20,0,0
3.4,86,20,0,0
3.5,88,20,0,0
3.6,90,20,0,0
3.7,92,20,0,0
3.8,94,20,0,0
3.9,96,20,0,0
4,98,20,0,0
4.2,102,20,0,0
4.3,104,20,0,0
4.4,106,20,0,0
4.5,108,20,0,0
4.7,112,20,0,0
4.9,116,20,0,0
5,118,20,0,0
5.2,122,20,0,0
5.4,126,20,0,0
5.5,128,20,0,0
5.7,132,20,0,0
5.9,136,20,0,0
6,138,20,0,0
6.2,142,20,0,0
6.4,146,20,0,0
6.5,148,20,0,0
6.6,150,20,0,0
6.7,152,20,0,0
6.8,154,20,0,0
6.9,156,20,0,0
7,158,20,0,0
7.1,160,20,0,0
7.2,162,20,0,0
7.3,164,20,0,0
7.4,166,20,0,0
7.5,168,20,0,0
7.6,170,20,0,0
7.7,172,20,0,0
7.8,174,20,0,0
7.9,176,20,0,0
8,178,20,0,0
8.1,180,20,0,0
8.3,184,20,0,0
8.4,186,20,0,0
8.5,188,20,0,0
8.6,190,20,0,0
8.8,194,20,0,0
8.9,196,20,0,0
9,198,20,0,0
9.1,200,20,0,0
9.3,204,20,0,0
9.4,206,20,0,0
9.5,208,20,0,0
9.8,214,20,0,0
9.9,216,20,0,0
10,218,20,0,0
10.3,224,20,0,0
10.4,226,20,0,0
10.5,228,20,0,0
10.8,234,20,0,0
10.9,236,20,0,0
11,238,20,0,0
11.3,244,20,0,0
11.4,246,20,0,0
11.5,248,20,0,0
11.8,254,20,0,0
11.9,256,20,0,0
12,258,20,0,0
12.3,264,20,0,0
12.4,266,20,0,0
12.5,268,20,0,0
12.8,274,20,0,0
12.9,276,20,0,0
13,278,20,0,0
13.1,280,20,0,0
13.2,282,20,0,0
13.3,284,20,0,0
13.4,286,20,0,0
13.5,288,20,0,0
13.6,290,20,0,0
13.7,292,20,0,0
13.8,294,20,0,0
13.9,296,20,0,0
14,298,20,0,0
14.1,300,20,0,0
14.2,302,20,0,0
14.3,304,20,0,0
14.4,306,20,0,0
14.5,308,20,0,0
14.6,310,20,0,0
14.7,312,20,0,0
14.8,314,20,0,0
14.9,316,20,0,0
15,318,20,0,0
15.1,320,20,0,0
15.2,322,20,0,0
15.3,324,20,0,0
15.4,326,20,0,0
15.5,328,20,0,0
15.6,330,20,0,0
15.7,332,20,0,0
15.8,334,20,0,0
15.9,336,20,0,0
16,338,20,0,0
16.1,340,20,0,0
16.2,342,20,0,0
16.3,344,20,0,0
16.5,348,20,0,0
16.6,350,20,0,0
16.7,352,20,0,0
16.8,354,20,0,0
17,358,20,0,0
17.1,360,20,0,0
17.2,362,20,0,0
17.3,364,20,0,0
17.5,368,20,0,0
17.6,370,20,0,0
17.7,372,20,0,0
17.8,374,20,0,0
18,378,20,0,0
18.1,380,20,0,0
18.2,382,20,0,0
18.3,384,20,0,0
18.5,388,20,0,0
18.6,390,20,0,0
18.7,392,20,0,0
18.8,394,20,0,0
19,398,20,0,0
19.1,400,20,0,0
19.3,404,20,0,0
19.5,408,20,0,0
19.6,410,20,0,0
19.8,414,20,0,0
20,418,20,0,0
20.1,420,20,0,0
20.3,424,20,0,0
20.5,428,20,0,0
20.6,430,20,0,0
20.8,434,20,0,0
21,438,20,0,0
21.1,440,20,0,0
21.3,444,20,0,0
21.5,448,20,0,0
21.6,450,20,0,0
21.8,454,20,0,0
22,458,20,0,0
22.1,460,20,0,0
22.3,464,20,0,0
22.5,468,20,0,0
22.6,470,20,0,0
22.8,474,20,0,0
23,478,20,0,0
23.1,480,20,0,0
23.3,484,20,0,0
23.5,488,20,0,0
23.6,490,20,0,0
23.8,494,20,0,0
24,498,20,0,0
24.1,500,20,0,0
24.3,504,20,0,0
24.5,508,20,0,0
24.6,510,20,0,0
24.8,514,20,0,0
25,518,20,0,0
25.1,520,20,0,0
25.3,524,20,0,0
25.5,528,20,0,0
25.6,530,20,0,0
25.7,532,20,0,0
25.8,534,20,0,0
25.9,536,20,0,0
26,538,20,0,0
26.1,540,20,0,0
26.2,542,20,0,0
26.3,544,20,0,0
26.4,546,20,0,0
26.5,548,20,0,0
26.6,550,20,0,0
26.7,552,20,0,0
26.8,554,20,0,0
26.9,556,20,0,0
27,558,20,0,0
27.1,560,20,0,0
27.2,562,20,0,0
27.3,564,20,0,0
27.4,566,20,0,0
27.5,568,20,0,0
27.6,570,20,0,0
27.7,572,20,0,0
27.8,574,20,0,0
27.9,576,20,0,0
28,578,20,0,0
28.1,580,20,0,0
28.2,582,20,0,0
28.3,584,20,0,0
28.4,586,20,0,0
28.5,588,20,0,0
28.6,590,20,0,0
28.7,592,20,0,0
28.8,594,20,0,0
28.9,596,20,0,0
29,598,20,0,0
29.1,600,20,0,0
29.2,602,20,0,0
29.3,604,20,0,0
29.4,606,20,0,0
29.5,608,20,0,0
29.6,610,20,0,0
29.7,612,20,0,0
29.8,614,20,0,0
29.9,616,20,0,0
30,618,20,0,0
