Time,Position,Velocity,Acceleration,Jerk
0.1,80,20,0,0
0.2,82,20,0,0
0.4,86,20,0,0
0.5,88,20,0,0
0.8,94,20,0,0
0.9,96,20,0,0
1,98,20,0,0
1.1,100,20,0,0
1.3,104,20,0,0
1.5,108,20,0,0
1.6,110,20,0,0
1.7,112,20,0,0
1.8,114,20,0,0
1.9,116,20,0,0
2,118,20,0,0
2.1,120,20,0,0
2.2,122,20,0,0
2.5,128,20,0,0
2.6,130,20,0,0
2.7,132,20,0,0
3,138,20,0,0
3.1,140,20,0,0
3.2,142,20,0,0
3.3,144,20,0,0
3.4,146,20,0,0
3.5,148,20,0,0
3.6,150,20,0,0
3.7,152,20,0,0
3.8,154,20,0,0
3.9,156,20,0,0
4,158,20,0,0
4.2,162,20,0,0
4.3,164,20,0,0
4.4,166,20,0,0
4.5,168,20,0,0
4.7,172,20,0,0
4.9,176,20,0,0
5,178,20,0,0
5.2,182,20,0,0
5.4,186,20,0,0
5.5,188,20,0,0
5.7,192,20,0,0
5.9,196,20,0,0
6,198,20,0,0
6.2,202,20,0,0
6.4,206,20,0,0
6.5,208,20,0,0
6.6,210,20,0,0
6.7,212,20,0,0
6.8,214,20,0,0
6.9,216,20,0,0
7,218,20,0,0
7.1,220,20,0,0
7.2,222,20,0,0
7.3,224,20,0,0
7.4,226,20,0,0
7.5,228,20,0,0
7.6,230,20,0,0
7.7,232,20,0,0
7.8,234,20,0,0
7.9,236,20,0,0
8,238,20,0,0
8.1,240,20,0,0
8.3,244,20,0,0
8.4,246,20,0,0
8.5,248,20,0,0
8.6,250,20,0,0
8.8,254,20,0,0
8.9,256,20,0,0
9,258,20,0,0
9.1,260,20,0,0
9.3,264,20,0,0
9.4,266,20,0,0
9.5,268,20,0,0
9.8,274,20,0,0
9.9,276,20,0,0
10,278,20,0,0
10.3,284,20,0,0
10.4,286,20,0,0
10.5,288,20,0,0
10.8,294,20,0,0
10.9,296,20,0,0
11,298,20,0,0
11.3,304,20,0,0
11.4,306,20,0,0
11.5,308,20,0,0
11.8,314,20,0,0
11.9,316,20,0,0
12,318,20,0,0
12.3,324,20,0,0
12.4,326,20,0,0
12.5,328,20,0,0
12.8,334,20,0,0
12.9,336,20,0,0
13,338,20,0,0
13.1,340,20,0,0
13.2,342,20,0,0
13.3,344,20,0,0
13.4,346,20,0,0
13.5,348,20,0,0
13.6,350,20,0,0
13.7,352,20,0,0
13.8,354,20,0,0
13.9,356,20,0,0
14,358,20,0,0
14.1,360,20,0,0
14.2,362,20,0,0
14.3,364,20,0,0
14.4,366,20,0,0
14.5,368,20,0,0
14.6,370,20,0,0
14.7,372,20,0,0
14.8,374,20,0,0
14.9,376,20,0,0
15,378,20,0,0
15.1,380,20,0,0
15.2,382,20,0,0
15.3,384,20,0,0
15.4,386,20,0,0
15.5,388,20,0,0
15.6,390,20,0,0
15.7,392,20,0,0
15.8,394,20,0,0
15.9,396,20,0,0
16,398,20,0,0
16.1,400,20,0,0
16.2,402,20,0,0
16.3,404,20,0,0
16.5,408,20,0,0
16.6,410,20,0,0
16.7,412,20,0,0
16.8,414,20,0,0
17,418,20,0,0
17.1,420,20,0,0
17.2,422,20,0,0
17.3,424,20,0,0
17.5,428,20,0,0
17.6,430,20,0,0
17.7,432,20,0,0
17.8,434,20,0,0
18,438,20,0,0
18.1,440,20,0,0
18.2,442,20,0,0
18.3,444,20,0,0
18.5,448,20,0,0
18.6,450,20,0,0
18.7,452,20,0,0
18.8,454,20,0,0
19,458,20,0,0
19.1,460,20,0,0
19.3,464,20,0,0
19.5,468,20,0,0
19.6,470,20,0,0
19.8,474,20,0,0
20,478,20,0,0
20.1,480,20,0,0
20.3,484,20,0,0
20.5,488,20,0,0
20.6,490,20,0,0
20.8,494,20,0,0
21,498,20,0,0
21.1,500,20,0,0
21.3,504,20,0,0
21.5,508,20,0,0
21.6,510,20,0,0
21.8,514,20,0,0
22,518,20,0,0
22.1,520,20,0,0
22.3,524,20,0,0
22.5,528,20,0,0
22.6,530,20,0,0
22.8,534,20,0,0
23,538,20,0,0
23.1,540,20,0,0
23.3,544,20,0,0
23.5,548,20,0,0
23.6,550,20,0,0
23.8,554,20,0,0
24,558,20,0,0
24.1,560,20,0,0
24.3,564,20,0,0
24.5,568,20,0,0
24.6,570,20,0,0
24.8,574,20,0,0
25,578,20,0,0
25.1,580,20,0,0
25.3,584,20,0,0
25.5,588,20,0,0
25.6,590,20,0,0
25.7,592,20,0,0
25.8,594,20,0,0
25.9,596,20,0,0
26,598,20,0,0
26.1,600,20,0,0
26.2,602,20,0,0
26.3,604,20,0,0
26.4,606,20,0,0
26.5,608,20,0,0
26.6,610,20,0,0
26.7,612,20,0,0
26.8,614,20,0,0
26.9,616,20,0,0
27,618,20,0,0
27.1,620,20,0,0
27.2,622,20,0,0
27.3,624,20,0,0
27.4,626,20,0,0
27.5,628,20,0,0
27.6,630,20,0,0
27.7,632,20,0,0
27.8,634,20,0,0
27.9,636,20,0,0
28,638,20,0,0
28.1,640,20,0,0
28.2,642,20,0,0
28.3,644,20,0,0
28.4,646,20,0,0
28.5,648,20,0,0
28.6,650,20,0,0
28.7,652,20,0,0
28.8,654,20,0,0
28.9,656,20,0,0
29,658,20,0,0
29.1,660,20,0,0
29.2,662,20,0,0
29.3,664,20,0,0
29.4,666,20,0,0
29.5,668,20,0,0
29.6,670,20,0,0
29.7,672,20,0,0
29.8,674,20,0,0
29.9,676,20,0,0
30,678,20,0,0
